datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunset,moonphase,conditions,description,icon,stations,source,name
01-01-2020,20,14,16.8,20,14,16.8,14.5,86.7,11.7,100,87.5,rain,0,0,30.6,13,58.6,1017.7,62.3,1.9,68.9,5.9,3,06:50:53,17:42:59,0.19,"Rain, Partially cloudy",Partly cloudy throughout ...,rain,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
02-01-2020,18,14,16.3,18,14,16.3,15,92.4,36.6,100,62.5,rain,0,0,42.1,14.8,53.9,1018.6,58.9,1.9,80.9,6.9,4,06:51:13,17:43:36,0.23,"Rain, Partially cloudy",Partly cloudy throughout ...,rain,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
03-01-2020,23,16,18.5,23,16,18.5,15.9,85.4,0,0,0,,0,0,16.9,9.4,61.5,1017,50.6,2,128.3,11.1,5,06:51:31,17:44:14,0.25,Partially cloudy,Partly cloudy throughout ...,partly-cloudy-day,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
04-01-2020,22,15,18.1,22,15,18.1,15.9,87.7,0.3,100,12.5,rain,0,0,19.8,11.2,60.2,1015.8,44.6,2,130.9,11.3,6,06:51:48,17:44:52,0.29,"Rain, Partially cloudy",Partly cloudy throughout ...,rain,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
05-01-2020,23,13.5,17.6,23,13.5,17.6,10.7,66.1,0,0,0,,0,0,28.8,14.8,27.6,1017.6,2.2,3.1,203.6,17.7,8,06:52:04,17:45:31,0.32,Clear,Clear conditions througho...,clear-day,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
06-01-2020,23,9,16.8,23,9,16.8,10,66.6,0,0,0,,0,0,24.8,13,66.6,1019,2.1,3.9,204.4,17.6,7,06:52:19,17:46:10,0.35,Clear,Clear conditions througho...,clear-day,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
07-01-2020,24,13,18.8,24,13,18.8,12.3,67.7,0,0,0,,0,0,15.1,5.4,55.1,1016.7,43.5,3,164.1,14.1,6,06:52:32,17:46:50,0.39,Partially cloudy,Partly cloudy throughout ...,partly-cloudy-day,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
08-01-2020,20,17,18.3,20,17,18.3,16.2,88,15.5,100,58.33,rain,0,0,31.7,7.6,41.5,1014.3,54.4,1.8,63,5.5,3,06:52:45,17:47:30,0.42,"Rain, Partially cloudy",Partly cloudy throughout ...,rain,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
09-01-2020,24,16,19.5,24,16,19.5,14.8,76,0.2,100,8.33,rain,0,0,27.7,13,21.4,1016.1,26.7,2.1,175,15,6,06:52:56,17:48:10,0.45,"Rain, Partially cloudy",Partly cloudy throughout ...,rain,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
10-01-2020,23,11,16,23,11,16,7.2,57.3,0,0,0,,0,0,25.9,11.2,43.2,1018.4,0,3.5,212.3,18.3,8,06:53:05,17:48:50,0.48,Clear,Clear conditions througho...,clear-day,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
11-01-2020,23,7,15,23,7,15,6.6,59.9,0,0,0,,0,0,20.2,11.2,49.1,1019,0,3.5,214.9,18.5,8,06:53:14,17:49:31,0.5,Clear,Clear conditions througho...,clear-day,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
12-01-2020,25.2,9,16.4,25.2,9,16.3,6.6,58.4,0,0,0,,0,0,16.2,7.6,34.9,1016.9,0,3.6,212.5,18.4,8,06:53:21,17:50:11,0.55,Clear,Clear conditions througho...,clear-day,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
13-01-2020,28.1,10,18.1,26.7,10,17.9,7,55.7,0,0,0,,0,0,16.6,7.6,106.2,1013.9,0,4.3,212.6,18.3,8,06:53:27,17:50:52,0.59,Clear,Clear conditions througho...,clear-day,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
14-01-2020,27,11,19.1,26.7,11,19,10.6,61.5,0,0,0,,0,0,15.5,7.6,91.3,1013.8,0,3.3,206,17.9,8,06:53:31,17:51:33,0.62,Clear,Clear conditions througho...,clear-day,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
15-01-2020,27,12,19.9,27.5,12,19.9,14.7,73.7,0,0,0,,0,0,23,9.4,95.7,1014.5,20.2,3,194.7,16.7,7,06:53:34,17:52:14,0.66,Partially cloudy,Partly cloudy throughout ...,partly-cloudy-day,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
16-01-2020,26,15,20.6,26,15,20.6,14.8,71.4,0,0,0,,0,0,31,16.6,171.8,1013.8,13.3,3,178.4,15.2,7,06:53:36,17:52:55,0.69,Clear,Clear conditions througho...,clear-day,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
17-01-2020,25,17,21,25,17,21,15.4,70.8,0,0,0,,0,0,18,11.2,3.5,1015,42.2,2.9,153.1,13.2,5,06:53:37,17:53:36,0.75,Partially cloudy,Partly cloudy throughout ...,partly-cloudy-day,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
18-01-2020,25,17,20.5,25,17,20.5,16.4,78.1,0.2,100,8.33,rain,0,0,23,11.2,44.6,1015.5,40.2,2.7,147.9,12.8,6,06:53:36,17:54:17,0.76,"Rain, Partially cloudy",Partly cloudy throughout ...,rain,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
19-01-2020,23,16,19.1,23,16,19.1,15.6,80.6,0.1,100,4.17,rain,0,0,28.1,14.8,39.5,1016.7,40,2.2,141.9,12.2,5,06:53:34,17:54:57,0.8,"Rain, Partially cloudy",Partly cloudy throughout ...,rain,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
20-01-2020,21,14,17.3,21,14,17.3,11.3,68.4,0,0,0,,0,0,23,9.4,41.7,1017.6,46.9,2.8,197.8,17,7,06:53:30,17:55:38,0.84,Partially cloudy,Partly cloudy throughout ...,partly-cloudy-day,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
21-01-2020,27,14,20.2,27.9,14,20.3,16,77.9,0,0,0,,0,0,23.8,7.6,88,1017.8,16.4,2.5,198.3,17,8,06:53:25,17:56:19,0.87,Clear,Clear conditions througho...,clear-day,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
22-01-2020,28,17,22.3,28.9,17,22.5,17.9,78.5,0.2,100,8.33,rain,0,0,23.4,9.4,168.3,1018,19.3,2.6,175.1,15.1,7,06:53:19,17:56:59,0.91,Rain,Clear conditions througho...,rain,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
23-01-2020,26,19,21.9,26,19,21.9,17.1,75.4,0.6,100,16.67,rain,0,0,23,11.2,57.9,1017.5,17,2.1,153.8,13.2,6,06:53:12,17:57:39,0.94,Rain,Clear conditions througho...,rain,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
24-01-2020,26,16,20.3,26,16,20.3,10.8,55.4,0,0,0,,0,0,18,9.4,60.1,1017.2,9.1,3.7,205.7,17.8,8,06:53:03,17:58:19,0.98,Clear,Clear conditions througho...,clear-day,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
25-01-2020,29,15,21.3,28.4,15,21.2,14,66.2,0,0,0,,0,0,19.4,7.6,83.4,1016,27.1,3.5,212.6,18.3,8,06:52:53,17:58:59,0,Partially cloudy,Becoming cloudy in the af...,partly-cloudy-day,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
26-01-2020,28,14,20.9,27.3,14,20.8,11.2,56.9,0,0,0,,0,0,19.4,9.4,37.8,1014.9,6.8,4.3,217.6,18.8,8,06:52:41,17:59:38,0.04,Clear,Clear conditions througho...,clear-day,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
27-01-2020,30,14,21.3,28.7,14,21.1,11.9,58.4,0.5,100,12.5,rain,0,0,21.6,7.6,104.1,1012.9,16.3,4,215.6,18.6,8,06:52:28,18:00:17,0.08,Rain,Clear conditions througho...,rain,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
28-01-2020,29,18,22.6,28.6,18,22.6,14.3,62.7,0.5,100,16.67,rain,0,0,37.1,22.3,235.5,1011.8,32.6,3.8,195.5,16.9,7,06:52:14,18:00:56,0.11,"Rain, Partially cloudy",Partly cloudy throughout ...,rain,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
29-01-2020,27,17,21.8,27,17,21.8,12.8,57.9,0,0,0,,0,0,24.8,11.2,3.2,1015.3,36.2,3.9,154,13.2,7,06:51:59,18:01:35,0.14,Partially cloudy,Partly cloudy throughout ...,partly-cloudy-day,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
30-01-2020,26,15,20.3,26,15,20.3,9.3,51.3,0,0,0,,0,0,26.6,16.6,13.2,1016.2,11.3,3.9,221.3,19.2,8,06:51:42,18:02:13,0.17,Clear,Clear conditions througho...,clear-day,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
