datetime,temp,tempmax,tempmin,humidity,pressure,cloudcover,visibility,windspeed_capped,precipprob,solarenergy,uvindex,month,precip_log,preciptype
2020-01-01,16.8,20.0,14.0,86.7,1017.7,62.3,1.9,13.0,100,5.9,3,1,2.5416019934645457,rain
2020-01-02,16.3,18.0,14.0,92.4,1018.6,58.9,1.9,14.8,100,6.9,4,1,3.6270040503958487,rain
2020-01-03,18.5,23.0,16.0,85.4,1017.0,50.6,2.0,9.4,0,11.1,5,1,0.0,none
2020-01-04,18.1,22.0,15.0,87.7,1015.8,44.6,2.0,11.2,100,11.3,6,1,0.262364264467491,rain
2020-01-05,17.6,23.0,13.5,66.1,1017.6,2.2,3.1,14.8,0,17.7,8,1,0.0,none
2020-01-06,16.8,23.0,9.0,66.6,1019.0,2.1,3.9,13.0,0,17.6,7,1,0.0,none
2020-01-07,18.8,24.0,13.0,67.7,1016.7,43.5,3.0,5.4,0,14.1,6,1,0.0,none
2020-01-08,18.3,20.0,17.0,88.0,1014.3,54.4,1.8,7.6,100,5.5,3,1,2.803360380906535,rain
2020-01-09,19.5,24.0,16.0,76.0,1016.1,26.7,2.1,13.0,100,15.0,6,1,0.18232155679395465,rain
2020-01-10,16.0,23.0,11.0,57.3,1018.4,0.0,3.5,11.2,0,18.3,8,1,0.0,none
2020-01-11,15.0,23.0,7.0,59.9,1019.0,0.0,3.5,11.2,0,18.5,8,1,0.0,none
2020-01-12,16.4,25.2,9.0,58.4,1016.9,0.0,3.6,7.6,0,18.4,8,1,0.0,none
2020-01-13,18.1,28.1,10.0,55.7,1013.9,0.0,4.3,7.6,0,18.3,8,1,0.0,none
2020-01-14,19.1,27.0,11.0,61.5,1013.8,0.0,3.3,7.6,0,17.9,8,1,0.0,none
2020-01-15,19.9,27.0,12.0,73.7,1014.5,20.2,3.0,9.4,0,16.7,7,1,0.0,none
2020-01-16,20.6,26.0,15.0,71.4,1013.8,13.3,3.0,16.6,0,15.2,7,1,0.0,none
2020-01-17,21.0,25.0,17.0,70.8,1015.0,42.2,2.9,11.2,0,13.2,5,1,0.0,none
